ip,initial_sent,coalesced_sent,initial_sent_until_retry,pto_expired,coalesced_received,retry_received,initial_sent_after_retry,initial_received,handshake_received,handshake_sent,packet_dropped,total_sent,total_received,rtt,var,port
204.16.247.177,3,5,1,,5,1.0,2.0,1,5.0,3.0,,6.0,6.0,116.0158,25.605,8853
205.185.117.191,3,4,1,,3,1.0,2.0,1,4.0,2.0,,5.0,5.0,153.6798,42.291,784
205.185.118.92,3,7,1,1.0,6,1.0,2.0,1,5.0,4.0,,21.0,18.0,154.1589,44.929,784
206.189.151.143,7,7,3,2.0,4,1.0,4.0,1,5.0,3.0,2.0,10.0,6.0,265.5397,76.222,784
207.148.76.214,7,7,3,2.0,5,1.0,4.0,1,5.0,3.0,3.0,10.0,6.0,257.08774999999997,89.03049999999999,784
207.148.84.39,7,7,3,2.0,6,1.0,4.0,1,5.0,3.0,3.0,10.0,6.0,283.6131,93.8655,8853
207.154.225.150,3,4,1,,3,1.0,2.0,1,4.0,2.0,,5.0,5.0,25.2019,10.74,784
207.246.91.188,3,5,1,,5,1.0,2.0,1,5.0,3.0,,6.0,6.0,93.4788,19.372500000000002,8853
208.89.60.14,3,5,1,,4,1.0,2.0,1,5.0,3.0,,6.0,6.0,104.4228,24.7185,8853
209.141.55.198,3,7,1,1.0,5,1.0,2.0,1,4.0,5.0,,16.0,10.0,154.1914,44.114,8853
209.208.110.56,3,5,1,,5,1.0,2.0,1,5.0,3.0,,6.0,6.0,121.99340000000001,25.958,8853
209.209.59.227,5,6,3,1.0,5,1.0,2.0,1,5.0,3.0,,8.0,6.0,165.8388,46.713,8853
209.250.226.191,3,4,1,,5,1.0,2.0,1,5.0,2.0,,5.0,6.0,22.0498,9.012,8853
210.100.131.252,7,7,3,2.0,5,1.0,4.0,1,5.0,3.0,3.0,10.0,6.0,287.1776,96.81049999999999,784
211.149.233.189,7,7,3,3.0,5,1.0,4.0,1,6.0,5.0,3.0,12.0,7.0,314.0446,139.49845,784
212.28.67.149,3,5,1,,5,1.0,2.0,1,5.0,3.0,,6.0,6.0,49.8924,10.394,784
213.166.71.156,3,3,1,,3,1.0,2.0,1,3.0,1.0,,4.0,4.0,14.0413,7.518,784
213.181.80.143,5,4,1,1.0,4,1.0,4.0,1,3.0,1.0,1.0,6.0,4.0,48.736,24.2398,784
213.183.62.11,3,5,1,,5,1.0,2.0,1,5.0,3.0,,6.0,6.0,46.8809,15.27,8853
213.227.173.235,3,5,1,,5,1.0,2.0,1,5.0,3.0,,6.0,6.0,112.1711,23.808500000000002,8853
213.227.181.51,3,5,1,,4,1.0,2.0,1,5.0,3.0,,6.0,6.0,80.9013,13.777,8853
216.189.147.50,3,5,1,,6,1.0,2.0,1,5.0,3.0,,6.0,6.0,111.10804999999999,22.189999999999998,784
216.230.232.29,3,5,1,,5,1.0,2.0,1,5.0,3.0,,6.0,6.0,122.2739,27.101,8853
217.138.209.217,3,5,1,,5,1.0,2.0,1,5.0,3.0,,6.0,6.0,43.7958,7.811,8853
217.146.1.31,3,4,1,,4,1.0,2.0,1,5.0,3.0,,6.0,6.0,43.1904,9.694,8853
217.146.11.49,3,5,1,,4,1.0,2.0,1,5.0,3.0,,6.0,6.0,162.6123,35.777,8853
217.146.22.163,3,5,1,,7,1.0,2.0,1,5.0,2.0,,5.0,6.0,18.5274,3.765,8853
217.146.31.87,3,5,1,,6,1.0,2.0,1,5.0,2.0,,5.0,6.0,24.4477,4.584,8853
217.146.9.93,3,5,1,,4,1.0,2.0,1,5.0,3.0,,6.0,6.0,208.4335,51.584999999999994,8853
217.160.26.168,3,4,1,,4,1.0,2.0,1,5.0,2.0,,5.0,6.0,17.64315,29.22,784
217.160.68.68,3,4,1,,4,1.0,2.0,1,4.0,2.0,,5.0,5.0,16.110799999999998,8.569500000000001,784
217.182.205.156,3,4,1,,5,1.0,2.0,1,5.0,2.0,,5.0,6.0,34.637100000000004,10.2109,784
218.148.166.100,7,7,3,2.0,4,1.0,4.0,1,5.0,3.0,3.0,10.0,6.0,289.19715,96.8025,784
218.161.26.122,7,7,3,2.0,5,1.0,4.0,1,5.0,3.0,3.0,10.0,6.0,220.1289,64.496,784
218.251.80.123,7,7,3,2.0,4,1.0,4.0,1,4.0,2.0,3.0,9.0,5.0,233.7948,67.523,784
219.93.40.126,7,7,3,2.0,4,1.0,4.0,1,5.0,3.0,2.0,10.0,6.0,222.18955,73.2065,784
220.165.15.137,7,6,3,2.0,3,1.0,4.0,1,4.0,2.0,3.0,9.0,5.0,301.61220000000003,100.74199999999999,784
222.124.173.197,7,7,3,2.0,4,1.0,4.0,1,5.0,3.0,2.0,10.0,6.0,302.1175,101.6995,784
222.235.154.251,7,8,3,2.0,6,1.0,4.0,1,5.0,3.0,2.0,10.0,6.0,268.39575,96.68350000000001,784
223.18.82.10,7,7,3,2.0,3,1.0,4.0,1,4.0,2.0,3.0,9.0,5.0,277.9826,99.7525,784
23.239.67.22,3,5,1,,5,1.0,2.0,1,5.0,3.0,,6.0,6.0,122.29855,26.268,8853
23.81.246.121,3,5,1,,4,1.0,2.0,1,5.0,3.0,,6.0,6.0,153.3438,34.094,8853
23.92.20.93,3,5,1,,4,1.0,2.0,1,5.0,3.0,,6.0,6.0,92.9257,26.718,784
23.94.101.217,3,4,1,,4,1.0,2.0,1,5.0,2.0,,5.0,6.0,11.9491,4.702,784
23.94.105.148,3,4,1,,5,1.0,2.0,1,4.0,2.0,,5.0,5.0,20.8388,6.403,784
23.94.120.177,3,4,1,,5,1.0,2.0,1,4.0,2.0,,15.0,15.0,20.4065,8.419525,784
23.94.216.126,3,3,1,1.0,3,1.0,2.0,1,4.0,2.0,,5.0,5.0,22.5536,8.477,784
23.96.122.170,3,4,1,,5,1.0,2.0,1,4.0,2.0,,5.0,5.0,98.2048,22.122,784
24.15.176.122,3,4,1,,4,1.0,2.0,1,3.0,2.0,,5.0,4.0,123.35695000000001,38.979,784
27.112.79.80,3,6,1,,8,1.0,2.0,1,6.0,3.0,,6.0,7.0,191.6386,47.9805,784
3.0.192.31,3,6,1,,8,1.0,2.0,1,6.0,3.0,,6.0,7.0,172.10185,46.343,784
3.112.236.194,7,7,3,2.0,5,1.0,4.0,1,5.0,3.0,2.0,10.0,6.0,249.5795,72.332,784
3.133.100.55,3,3,1,,3,1.0,2.0,1,3.0,1.0,,4.0,4.0,117.2082,25.13,784
3.7.176.123,3,5,1,,4,1.0,2.0,1,5.0,3.0,,6.0,6.0,149.7691,31.922,784
3.9.78.39,3,4,1,,5,1.0,2.0,1,6.0,3.0,,6.0,7.0,23.6688,8.34,784
31.184.204.142,3,5,1,,6,1.0,2.0,1,6.0,3.0,,6.0,7.0,114.763,29.6285,784
31.184.254.92,3,5,1,,5,1.0,2.0,1,4.0,2.0,,5.0,5.0,46.7973,14.078,784
31.201.14.60,3,4,1,,5,1.0,2.0,1,5.0,2.0,,5.0,6.0,28.90735,14.716375,784
34.238.109.236,3,5,1,,4,1.0,2.0,1,5.0,3.0,,6.0,6.0,101.07665,21.0875,784
34.80.137.209,7,7,3,2.0,4,1.0,4.0,1,6.0,3.0,3.0,10.0,7.0,267.23885,95.1865,784
34.80.2.188,7,7,3,2.0,6,1.0,4.0,1,5.0,3.0,2.0,10.0,6.0,267.7621,78.624,784
34.80.57.32,7,7,3,2.0,5,1.0,4.0,1,5.0,3.0,3.0,10.0,6.0,279.28895,96.4445,784
34.96.142.40,7,5,3,2.0,4,1.0,4.0,1,4.0,2.0,3.0,9.0,5.0,261.17645000000005,92.78399999999999,784
35.156.129.204,3,3,1,,3,1.0,2.0,1,4.0,2.0,,5.0,5.0,19.3842,5.327,784
35.198.139.194,3,4,1,,4,1.0,2.0,1,5.0,2.0,,5.0,6.0,23.04155,8.354,784
35.227.180.93,3,5,1,,4,1.0,2.0,1,5.0,3.0,,6.0,6.0,166.3966,41.8665,784
35.246.244.203,3,5,1,,6,1.0,2.0,1,5.0,3.0,,6.0,6.0,16.057299999999998,5.3085,784
37.120.149.148,3,4,1,,6,1.0,2.0,1,5.0,2.0,,5.0,6.0,32.743,9.933,8853
37.187.19.215,3,4,1,,4,1.0,2.0,1,4.0,2.0,,5.0,5.0,35.0514,15.775,784
37.221.198.103,3,5,1,,4,1.0,2.0,1,5.0,3.0,,6.0,6.0,24.8569,10.421,784
37.235.49.73,3,5,1,,5,1.0,2.0,1,5.0,3.0,,6.0,6.0,59.9714,13.476,8853
37.252.225.79,3,4,1,,4,1.0,2.0,1,5.0,2.0,,5.0,6.0,20.4677,5.927,8853
37.252.230.153,3,6,1,1.0,6,1.0,2.0,1,6.0,5.0,1.0,8.0,7.0,45.7877,62.4705,8853
37.252.238.25,7,7,3,2.0,4,1.0,4.0,1,5.0,3.0,2.0,10.0,6.0,211.6966,61.773,8853
37.252.239.39,7,7,3,2.0,5,1.0,4.0,1,5.0,3.0,2.0,10.0,6.0,235.706,67.121,8853
37.252.243.39,7,7,3,2.0,4,1.0,4.0,1,5.0,3.0,2.0,10.0,6.0,262.1243,74.224,8853
37.252.245.241,3,5,1,,4,1.0,2.0,1,5.0,3.0,,6.0,6.0,141.8934,30.404,8853
37.252.247.133,3,5,1,,4,1.0,2.0,1,5.0,3.0,,6.0,6.0,42.5951,12.361,8853
37.252.249.233,7,7,3,2.0,4,1.0,4.0,1,5.0,3.0,3.0,10.0,6.0,252.2221,71.497,8853
37.252.254.39,3,5,1,,5,1.0,2.0,1,5.0,3.0,,6.0,6.0,47.1193,14.645,8853
38.242.12.100,3,5,1,,4,1.0,2.0,1,5.0,3.0,,6.0,6.0,88.9477,20.366999999999997,784
39.100.20.1,7,8,3,4.0,4,1.0,4.0,1,7.0,6.0,3.0,26.0,16.0,244.1005,69.539,784
39.106.231.126,3,8,1,2.0,7,1.0,2.0,1,7.0,8.0,,33.0,24.0,177.6117,66.853,784
39.108.55.49,7,7,3,2.0,6,1.0,4.0,1,4.0,2.0,2.0,9.0,5.0,223.21475,75.8485,784
40.83.113.177,5,5,3,1.0,4,1.0,2.0,1,4.0,2.0,1.0,7.0,5.0,203.11645,68.5075,784
41.21.230.0,7,8,3,2.0,6,1.0,4.0,1,5.0,3.0,3.0,10.0,6.0,220.215,80.346,784
42.193.160.144,7,5,3,2.0,3,1.0,4.0,1,4.0,2.0,3.0,27.0,15.0,261.3786,91.332,784
42.193.162.97,7,7,3,2.0,5,1.0,4.0,1,5.0,3.0,3.0,10.0,6.0,231.9772,70.226,784
42.194.151.80,7,6,3,2.0,3,1.0,4.0,1,4.0,2.0,3.0,9.0,5.0,260.31615,86.84100000000001,784
43.128.1.27,7,6,3,2.0,4,1.0,4.0,1,4.0,2.0,3.0,9.0,5.0,279.14525000000003,117.347,784
43.128.23.18,7,7,3,2.0,4,1.0,4.0,1,4.0,3.0,2.0,10.0,5.0,342.8305,130.087,784
43.129.10.247,7,5,3,2.0,3,1.0,4.0,1,4.0,2.0,3.0,9.0,5.0,275.9091,82.146,784
43.225.108.163,7,7,3,2.0,6,1.0,4.0,1,5.0,3.0,3.0,10.0,6.0,225.17905000000002,69.783,784
43.229.79.19,3,5,1,,5,1.0,2.0,1,5.0,3.0,,6.0,6.0,199.02835,50.451499999999996,8853
45.11.105.129,7,8,3,2.0,7,1.0,4.0,1,5.0,3.0,3.0,10.0,6.0,216.4456,62.835,8853
45.114.118.156,7,8,3,2.0,7,1.0,4.0,1,5.0,3.0,2.0,10.0,6.0,254.3819,73.248,8853
45.117.103.234,7,7,3,2.0,5,1.0,4.0,1,4.0,2.0,3.0,9.0,5.0,248.0114,75.589,784
45.117.103.43,7,7,3,2.0,7,1.0,4.0,1,6.0,3.0,2.0,10.0,7.0,267.1859,80.436,784
45.12.148.118,3,5,1,,5,1.0,2.0,1,5.0,3.0,,6.0,6.0,168.3875,44.724999999999994,784
45.121.145.91,3,5,1,,5,1.0,2.0,1,5.0,3.0,,6.0,6.0,189.1025,46.7035,8853
45.121.146.34,3,5,1,,5,1.0,2.0,1,5.0,3.0,,6.0,6.0,178.73399999999998,44.9905,8853
45.121.208.210,7,7,3,2.0,4,1.0,4.0,1,5.0,3.0,3.0,10.0,6.0,217.0112,61.313,8853
45.121.209.148,7,7,3,2.0,4,1.0,4.0,1,5.0,3.0,3.0,10.0,6.0,260.7858,75.344,8853
